County,avg(Percentage),rural_urban,State
Perry,0.07,Rural,PA
Carbon,0.066,Rural,PA
Sullivan,0.06,Rural,PA
Dauphin,0.056,Urban,PA
Cameron,0.05,Rural,PA
Philadelphia,0.05,Urban,PA
Wyoming,0.05,Rural,PA
Fayette,0.046666667,Rural,PA
Fulton,0.046666667,Rural,PA
Snyder,0.045,Rural,PA
Wayne,0.045,Rural,PA
Schuylkill,0.045,Rural,PA
Susquehanna,0.043333333333333335,Rural,PA
Lackawanna,0.043000000000000003,Urban,PA
Monroe,0.0425,Rural,PA
Cumberland,0.04125,Urban,PA
Franklin,0.04,Rural,PA
Clarion,0.04,Rural,PA
Forest,0.04,Rural,PA
Juniata,0.04,Rural,PA
Crawford,0.04,Rural,PA
Northumberland,0.038333333,Rural,PA
Luzerne,0.038181818181818185,Urban,PA
Potter,0.038,Rural,PA
Beaver,0.037857143,Urban,PA
Westmoreland,0.035294118,Urban,PA
Huntingdon,0.035,Rural,PA
Lycoming,0.035,Rural,PA
Indiana,0.034285714,Rural,PA
Washington,0.033571428571428585,Rural,PA
Somerset,0.032727273,Rural,PA
York,0.0325,Urban,PA
Cambria,0.0325,Rural,PA
Armstrong,0.0325,Rural,PA
Lebanon,0.031666667,Urban,PA
Mercer,0.030833333,Rural,PA
Jefferson,0.03,Rural,PA
Mifflin,0.03,Rural,PA
Warren,0.03,Rural,PA
Tioga,0.03,Rural,PA
Clinton,0.03,Rural,PA
Northampton,0.029999999999999995,Urban,PA
McKean,0.027999999999999997,Rural,PA
Butler,0.027142857142857142,Rural,PA
Bradford,0.027142857,Rural,PA
Adams,0.026666667,Rural,PA
Greene,0.026000000000000002,Rural,PA
Pike,0.025,Rural,PA
Union,0.025,Rural,PA
Clearfield,0.024999999999999998,Rural,PA
Lawrence,0.024999999999999998,Rural,PA
Berks,0.023333333,Urban,PA
Columbia,0.023333333333333334,Rural,PA
Elk,0.023333333333333334,Rural,PA
Erie,0.023076923076923075,Urban,PA
Bedford,0.022,Rural,PA
Venango,0.022,Rural,PA
Blair,0.021428571428571432,Rural,PA
Delaware,0.021333333333333336,Urban,PA
Lancaster,0.02125,Urban,PA
Allegheny,0.020232558139534895,Urban,PA
Lehigh,0.020000000000000004,Urban,PA
Centre,0.02,Rural,PA
Bucks,0.019230769230769232,Urban,PA
Montgomery,0.018636363636363642,Urban,PA
Chester,0.014166667,Urban,PA
Montour,0.01,Rural,PA